dataset,country_code,country,series,sector_code,unit,theme,period,value
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2010-11,4695072.665
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2010-12,4668457.949000001
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2011-01,4698938.851
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2011-02,4704259.738
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2011-03,4705525.192999999
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2011-04,4702011.2020000005
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2011-05,4719348.41
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2011-06,4739196.381
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2011-07,4742488.005
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2011-08,4723028.116
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2011-09,4755286.58
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2011-10,4751634.972
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2011-11,4757577.566017
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2011-12,4719921.149905
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2012-01,4721973.6729999995
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2012-02,4710522.081
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2012-03,4699243.318000001
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2012-04,4704274.559
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2012-05,4705090.012
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2012-06,4700351.868000001
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2012-07,4706018.936
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2012-08,4671016.745
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2012-09,4652260.206
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2012-10,4638367.841
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2012-11,4636749.376
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2012-12,4535726.942000001
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2013-01,4523235.141
